id	sentence	category
GkMZs7JzIe9WsTcMbg9r	ഗരുഡൻ ആകാശത്തിൽ പറക്കും ഈച്ച അങ്കണത്തിൽ പറക്കും	proverb
GxbJNvHRLg4CJpvX9c5i	വേലി ചാടുന്ന പശുവിനു കോലുകൊണ്ട് മരണം.	proverb
HLn3NYUvniBe3PfN21ZG	വിളഞ്ഞാൽ പിന്നെ വച്ചേക്കരുതു്‌.	proverb
HSMGGGgQ0cXjelviHaXn	കലത്തിനറിയാമോ കർപ്പൂരത്തിന്റെ ഗന്ധം?	proverb
Ho1CroUQvsJoG3Yqckhz	ഒന്നുകിൽ ആശാന്റെ നെഞ്ചത്ത് അല്ലെങ്കിൽ കളരിക്ക് പുറത്ത്.	proverb
HyHbgSZ1Ox5d0LNUKPZS	ചൊട്ടയിലെ ശീലം ചുടല വരെ.	proverb
I5PhkHIohcA8X7JyycsA	എന്റെ വീട് പാലക്കാട് ആണ്	default
ISP7n47VJ4pOiqKJclSx	ചുട്ട ചട്ടി അറിയുമോ അപ്പത്തിന്റെ സ്വാദു്?	proverb
IcbSAh45tBW3sGFYL6SG	അച്ഛൻ ആനപ്പുറത്ത് കയറിയാൽ മകന് തഴമ്പുണ്ടാകുമോ?	proverb
InF1lPYnS3bjic5q1ZVu	കക്ഷത്തിലുള്ളത് പോകാനും പാടില്ല ഉത്തരത്തിലേത് ഏടുക്കുകയും വേണം.	proverb
Ir8O0ZOX24LrFW5hiXfi	ആധിയോളം വലിയ വ്യാധിയില്ല.	proverb
J0ERaO9HsHoD9IgQSBJj	വേലി തന്നെ വിളവു തിന്നുക.	proverb
JG8rQcfJFZkAbsoEec1h	ഒന്നു ചീയുന്നത് മറ്റൊന്നിന് വളം.	proverb
Jkb5cI3cv8b7M9PMrAj8	ആന കൊടുത്താലും ആശ കൊടുക്കരുത്.	proverb
JtRcE3s0UaE4SQ2yDtF7	പാദം പാദം വച്ചാൽ കാതം കാതം പോകാം.	proverb
KG91xnt9mroVfkTCvriL	അക്കരെനിന്നാൽ ഇക്കരെപ്പച്ച ഇക്കരെ നിന്നാൽ അക്കരെപ്പച്ച.	proverb
KSRZCMDMkQtvSQdJ9IXM	മൺവെട്ടി തണുപ്പറിയുമോ?	proverb
KZzOTLufc3E5QUuiGeJs	ആളുകൂടിയാൽ പാമ്പ് ചാവില്ല.	proverb
KjUOv2Z0DPme2Z81V8un	പൂച്ചയ്ക്കാര് മണികെട്ടും?	proverb
MF1y4uDCUzxUPaKQJ2AN	ഓണം കഴിഞ്ഞാൽ ഓലപ്പുര ഓട്ടപ്പുര.	proverb
MFjB6tW3rvu7N5mGtrap	നിങ്ങൾ ഇതുവരെ പുറപ്പെട്ടില്ലേ?	default
MW9d1b4MtGYW0L0XjNGz	അങ്ങാടിയിൽ തോറ്റതിനമ്മയോട്.	proverb
MfJ8c0abHTDhB1yZAMOr	താനിരിക്കേണ്ടിടത്ത് താനിരുന്നില്ലെങ്കിൽ നായ ഇരിക്കും.	proverb
MiXM2zmODOYXe6TPYEK3	അരിയെറിഞ്ഞാൽ ആയിരം കാക്ക	default
N1TAb66joYAH7sUrjTzG	മുറിവൈദ്യം ആപത്ത്.	proverb
No8QCudp33CAVxMpuvzc	അത്തം വെളുത്താൽ ഓണം കറുക്കും.	proverb
O6FzfKedUv6M1Vx67P7u	മോങ്ങാനിരുന്ന പട്ടിയുടെ തലയിൽ തേങ്ങ വീണു.	proverb
OPv4Whf9qlsw3YpFutkE	വരമ്പു ചാരി നട്ടാൽ ചുവരു ചാരിയുണ്ണാം.	proverb
OX4fKnJZsUVl0V0KfjbT	വെടിക്കെട്ടുകാരന്റെ പട്ടിയെ ഉടുക്ക് കൊട്ടി പേടിപ്പിക്കരുത്.	proverb
OZ1wBj2ulYvvvvrsaE1v	പാലം കടക്കുവോളം നാരായണ  പാലം കടന്നാലൊ കൂരായണ.	proverb
PWsWqZ0gddLVaaf7T2BM	അത്തം പത്തോണം.	proverb
PednBSrcuazfWztjlbZl	മൂത്തോരുടെ വാക്കും മുതുനെല്ലിക്കയും ആദ്യം കയ്ക്കും പിന്നെ മധുരിക്കും.	proverb
PhhrXdFvUYlBKeEaLFnF	പയ്യെത്തിന്നാൽ പനയും തിന്നാം	proverb
RFqpUYuTBIasD8xxtXHD	ചന്ദനം ചാരിയാൽ ചന്ദനം മണക്കും ചാണകം ചാരിയാൽ ചാണകം മണക്കും.	proverb
Ri6tSqWXW2RgbByIxlfb	അരിയെറിഞ്ഞാൽ ആയിരം കാക്ക.	proverb
S83ObTaPAD6LhZOX4mvd	കാണം വിറ്റും ഓണമുണ്ണണം.	proverb
SCS0tpUJhZJnknB1SzK7	വാക്കു കൊണ്ടു വയറു നിറയുകയില്ല.	proverb
TNhZquEVUMS3PyCN2uoW	ഒരു വെടിക്കു രണ്ടു പക്ഷി.	proverb
Tb7M02VkVmmjPFnQqlQ5	ആന മെലിഞ്ഞാൽ തൊഴുത്തിൽ കെട്ടാമോ?	proverb
TwgolQqQnOjaiqOfES4g	മീനത്തിൽ മഴ പെയ്താൽ മീനിനും ഇരയില്ല.	proverb
UGclZ2Z8R0AqlhIX94Mg	പൊക്കാളി വിതച്ചാൽ ആരിയൻ കൊയ്യുമോ?	proverb
Uewx5orrWkLo3gJNX6Yp	മിന്നുന്നതെല്ലാം പൊന്നല്ല	proverb
V8UCpk5cw3MtdR4w5BCu	ഇടി വെട്ടിയവനെ പാമ്പു കടിച്ചു.	proverb
VVjciw5NphE1SYCrXDW6	പട്ടി കുരച്ചാൽ പടിപ്പുര തുറക്കുമോ?	proverb
Vv5uRDULKIVncoUM1qX9	മെല്ലെത്തിന്നാൽ മുള്ളും തിന്നാം.	proverb
WlaSwVZONhbzN1tzsInV	പെട്ടാൽ പിന്നെ പെടയ്ക്കാനല്ലേ പറ്റൂ.	proverb
XAj5k3QzxFskj7f7RR8w	വിളഞ്ഞ കണ്ടത്തിൽ വെള്ളം തിരിക്കണ്ട.	proverb
XbM0SyqeKK88BuNeKsOC	പണത്തിനു മീതെ പരുന്തും പറക്കില്ല	proverb
XiKQdxmTMbVC76g7z3sr	എലിയെ പേടിച്ച് ഇല്ലം ചുട്ടു.	proverb
Y7ydtxvpA7ooatWN3J4z	പഴഞ്ചൊല്ലിൽ പതിരില്ല.	proverb
YDKGf6OH3Mz9SsmFJkYb	അട്ടയെപ്പിടിച്ചു മെത്തയിൽ കിടത്തിയ പോലെ.	proverb
ZAmedAnZiEiQAEBpd7ZA	ഉണ്ടെങ്കിലോണം പോലെ അല്ലെങ്കിലേകാദശി.	proverb
ZK6koiqz2se0fhqwtAIP	ഉള്ളം കൈയ്യിൽ നിന്ന് രോമം പറിക്കാമോ?	proverb
ZPOAOb6nFbBS3cajBlUV	അരമന രഹസ്യം അങ്ങാടി പാട്ട്.	default
ZgzVOPERmYLYE7CU1OlC	നിത്യാഭ്യാസി ആനയെ എടുക്കും.	proverb
ZmUeMtXetkKwxKdXgQaf	മണ്ണു വിറ്റു പൊന്നു വാങ്ങരുതു്‌.	proverb
aGR3mpjRsVrjv4juUihO	ക്ഷീരം കൊണ്ടു നനച്ചാലും വേപ്പിന്റെ കയ്പു വിടുമോ?	proverb
aiKUvCB0mTIlKCfku8Wp	വിളയുന്ന വിത്തു മുളയിലറിയാം.	proverb
aoHz4cfA70SuAGHrQkvT	കറിയുടെ സ്വാദു്‌ തവിയറിയില്ല.	proverb
bVaubPW8dHlPcYBiCeki	ആശാനക്ഷരമൊന്നു പിഴച്ചാൽ അമ്പത്തൊന്നു പിഴക്കും ശിഷ്യന്.	proverb
bdSCur62NjdPXd5Qrwfg	കൊക്കിലൊതുങ്ങുന്നതേ കൊത്താവൂ.	proverb
c3RZhnNeJPLSGQkONGeS	തെളിച്ച വഴിയെ നടന്നിലെങ്കിൽ നടന്ന വഴിയെ തെളിക്കുക.	proverb
cApdQiDvU1ATUJnb8o6a	ഇന്ന് നല്ല മഴയാണ്.	default
czF4N0xY7w8Bqj5ub5nT	എലിയെ പേടിച്ച് ഇല്ലം ചുടുക.	default
dHKuzDDErbVA5FLM5vsd	അരിമണിയൊന്ന് കൊറിക്കനില്ല കരിവളയിട്ട്‌ കിലുക്കാൻ മോഹം.	default
dYV1iWSxeHzOfWdVHLtT	വേരിനു വളം വയ്ക്കാതെ തലയ്ക്കു വളം വച്ചിട്ടെന്തു കാര്യം?	proverb
eRBPHg3VacjjQeLRN1vB	മുൻവിള പൊൻവിള.	proverb
egukYzGQgoVf1imX0EiU	ചാണകക്കുഴിയും പെരുങ്കടലും തുല്യമോ?	proverb
exvngTiqEXVxgXOLtHAR	മിണ്ടാപ്പൂച്ച കലമുടക്കും.	proverb
fYx6TfSriKv21fccGNrR	വല്ലഭനു പുല്ലും ആയുധം.	proverb
fe5D9gPlRWl2UWasyvvO	കാഞ്ഞിരക്കുരു പാലിലിട്ടാലും കയ്പു തീരില്ല.	proverb
g1gAt6TBRqcK7t0xYdaW	അരമന രഹസ്യം അങ്ങാടിപ്പാട്ട്.	proverb
g2kdtZ6thnCoze6JdsTU	കണ്ടറിയാത്തവൻ കൊണ്ടറിയും.	proverb
gBbBlMcFWWP37LXZNkTk	ഇരുന്നീട്ട് വേണം കാൽ നീട്ടാൻ.	default
gfRsenZ0lCZPMRG1mgz0	വർഷം പോലെ കൃഷി.	proverb
gznYupsO4a7TLe58lFxh	കാക്കയ്ക്കും തൻകുഞ്ഞ് പൊൻകുഞ്ഞ്.	proverb
hA3gzvlwaxUFblDOMazw	പലതുള്ളിപ്പെരുവെള്ളം.	proverb
hL7qhjx7H1MFWHK9GWSb	കള്ളൻ കപ്പലിൽ തന്നെ.	proverb
hUx3ouYA2528evbbpadw	വാക്കു കൊണ്ടു കോട്ട കെട്ടുക.	proverb
hZibjDIgpuYW7BaZHeIl	കാലത്തേ വിതച്ചാൽ നേരത്തേ കൊയ്യാം.	proverb
heRFFMaE3SWQeQVxnUaS	ആടറിയുമോ അങ്ങാടി വാണിഭം?	default
hyJjTUBEuQuWEuGH76Bu	പൊൻമുട്ടയിടുന്ന താറാവിനെ കൊല്ലരുത്.	proverb
j2Ui0kgqK7AwEpQBXelJ	വിശപ്പിനു രുചിയില്ല.	proverb
jiwR0OHIfpkFPbDAV7Mb	കടം അപകടം സ്നേഹത്തിനു വികടം.	proverb
jkuQWavi9Chl9yBf21RZ	മത്ത കുത്തിയാൽ കുമ്പളം മുളക്കില്ല.	proverb
k4W9psYi7qvsi3TQo4Zl	ഉണ്ട ചോറിൽ കല്ലിടരുതു.	proverb
kV4GEzKjcgljBEwV5ueb	നിങ്ങളുടെ പേരെന്താണ്?	default
lMB6u7QuLjFnOS9KY3w8	ഓന്തിനു വേലി സാക്ഷി വേലിക്കു്‌ ഓന്തു സാക്ഷി.	proverb
lR8JZUbVNMT7EySdXp8M	ഉള്ളതു പറഞ്ഞാൽ കള്ളനു തുള്ളൽ.	proverb
lf2ALHOb2rQn7XZMEtOY	കുറുക്കൻ ചത്താലും കണ്ണ് കോഴിക്കൂട്ടില്.	proverb
ltBUFY11jEL25gn0x1DX	അച്ചിക്ക്‌ ഇഞ്ചി പക്ഷം നായർക്ക്‌ കൊഞ്ച്‌ പക്ഷം.	proverb
mJX9UZpxcYqVuUs8RR8g	പാലം കുലുങ്ങിയാലും കേളൻ കുലുങ്ങില്ല.	proverb
mNfUqlwBDM2Z5PRZzHIN	വേണമെങ്കിൽ ചക്ക വേരിലും കായ്ക്കും	default
mPCAUiUb7lLC15g0pY79	ഓണത്തിനടയ്ക്കാണോ പുട്ടു കച്ചോടം?	proverb
mhIEmUyBs2ifB6tjzHM6	ആന വായിൽ അമ്പഴങ്ങ.	proverb
mjEqOWTntz1H5NP0WuzY	മുല്ലപൂമ്പൊടിയേറ്റു കിടക്കും കല്ലിനുമുണ്ടാമൊരു സൌരഭ്യം.	proverb
mjNoB9ZFRhwdfKUb9cPu	വെട്ടാൻ വരുന്ന പോത്തിനോട് വേദമോതാൻ നിൽക്കരുത്.	proverb
mmujzi8AdOyGyLt95lNH	അടുപ്പെത്ര ചെറുതായാലും കല്ല് മൂന്നെണ്ണം വേണം.	proverb
mpbiloGqLHf2F9Zk3sSf	ചങ്ങാതി നന്നെങ്കിൽ കണ്ണാടി വേണ്ട.	proverb
n1QYN9PNtqFACgGPV8KI	പട്ടിക്കു രോമം കിളിർത്തിട്ട് അമ്പട്ടനെന്ത് കാര്യം?	proverb
nxANxVQdRPaVh8nSDfBe	വിത്തുഗുണം പത്തുഗുണം.	proverb
oPV4qhs8Zswtrqz566EE	വെട്ടിൽ വീഴ്ത്തിയാൽ വൻമരവും വീഴും.	proverb
oRT4jT7Xp6aAGuayZbRj	പട്ടിയുടെ വാല് കുഴലിലിട്ടാൽ പന്തീരാണ്ട് കഴിഞ്ഞാലും നിവരില്ല	proverb
og6e2l3KveiSD9yRKqkV	കരയുന്ന കുഞ്ഞിനേ പാലുള്ളൂ.	proverb
otzGxDQTzhM5kNtr7Tit	കുളിപ്പിച്ചാലും പന്നി ചേറ്റിൽ.	proverb
ouNgsa4oyPyt7JmI7bU3	വന്ന വഴി മറക്കരുത്.	proverb
p81ZtnPoJpEqFwSeuEdt	ചൂടുവെള്ളത്തിൽ വീണ പൂച്ചക്ക് പച്ചവെള്ളം കണ്ടാലും പേടി.	proverb
pRGa3kdMZCFcEH4pfaGK	ചട്ടുവമറിയുമോ കറിയുടെ രസം?	proverb
q7PkCKRUgV2rV3N1Khdp	അരിയും തിന്നു ആശാരിച്ചിയേം കടിച്ചിട്ട്‌ പിന്നേം നായക്ക്‌ മുറുമുറുപ്പ്	proverb
qI8rOG0PwQkxu10tFj10	അളക്കുന്ന നാഴിക്കു്‌ അരിവില അറിയാമോ?	proverb
rR3oIrskHutUpE5YiwA9	കുരക്കുന്ന പട്ടി കടിക്കില്ല.	proverb
rRKWjXZu1vlzFi0uqngC	പൊന്നു കായ്ക്കുന്ന മരമായാലും പുരയ്ക്കു ചാഞ്ഞാൽ മുറിയ്ക്കണം.	proverb
sYewFzDMi2vy9XZcDMWj	പൂട്ടുന്ന കാളയെന്തിനു വിതയ്ക്കുന്ന വിത്തറിയുന്നു?	proverb
snuK0Lwxwci2dcy8NnMN	ആഴത്തിൽ ഉഴുതു അകലെ നടണം.	proverb
tQoJUX0JnMgsAnVOKfZw	ആലിൻപഴം പഴുത്തപ്പോൾ കാക്കയ്ക്ക് വായപ്പുണ്ണ്.	proverb
tojnreyKTydpTYH8JNHp	ഇഷ്ടം മുറിക്കാൻ അർത്ഥം മഴു	proverb
uQio1U3lPeGTj3vicnd8	കാന്താരിമുളകെന്തിനാ അധികം?	proverb
uXLRgb8msRNhQRpU1QOm	ആന വാ പൊളിക്കുന്നത് കണ്ടിട്ട് അണ്ണാൻ വാ പൊളിച്ചാൽ കാര്യമില്ല.	proverb
uakL6TDBM3WBbXqLTawG	അങ്ങാടിപ്പയ്യ് ആലയിൽ നിൽക്കില്ല.	proverb
vIqKy7x5DUyKR1AGRvjP	നീർക്കോലിക്ക് നീന്തൽ പഠിപ്പിക്കണ്ട.	proverb
vWGTl5JdYesvOmwd3avR	ആടു കിടന്നിടത്ത് പൂട പോലുമില്ല.	proverb
vr9hLmup2UFMjoMZvecC	തന്നോളം പോന്നാൽ മകനേയും താനെന്നു വിളിക്കണം	default
vu0CbtXQ0t6dPFBR18Eh	അകത്തുള്ളത് മുഖത്ത് വിളങ്ങും.	proverb
wDqAppG2JEQ9YZySCdBf	വിദ്യാധനം സർവ്വധനാൽ പ്രധാനം.	proverb
wpsSeqKDWCwqfliPrMJP	കാട്ടിലെ തടി തേവരുടെ ആന വലിയെടാ വലി.	proverb
x2XPjNr1j8dy93R4DSZp	ആകെ മുങ്ങിയാൽ കുളിരില്ല.	proverb
xGIkDQ5ALFjD3yTm9e9U	ചങ്ങലയ്ക്കു ഭ്രാന്തു പിടിച്ചാലോ?	proverb
xeakXYyefDVUBROcZ2KT	ഗതികെട്ടാൽ പുലി പുല്ലും തിന്നും.	proverb
xrVoGC60CEjcGric5Hwl	തേടിയ വള്ളി കാലിൽ ചുറ്റി.	proverb
yC0skBbXQgIYgNLJG6vG	കുന്തം പോയാൽ കുടത്തിലും തപ്പണം	proverb
yDXZj5Z7q8eMMmtzMUDQ	തന്നോളം പോന്നാൽ മകനേയും താനെന്നു വിളിക്കണം.	proverb
yNtVJPxUvTPufzhN5uql	അടിതെറ്റിയാൽ ആനയും വീഴും.	proverb
yPPR83LPmjdJD7sE5GRc	കാക്ക കുളിച്ചാൽ കൊക്കാകുമോ?	proverb
ykUGGT2O7AxmaUoGDuQ6	പുകഞ്ഞ കൊള്ളി പുറത്ത്.	proverb
yqzQphupsXcrpdJEt6mF	താൻ പാതി ദൈവം പാതി.	proverb
zds38MUbRaXijnANQPmH	ആളു ചെറുതു കോളു വലുതു.	proverb
